unix,date,symbol,open,high,low,close,Volume BTT,Volume USDT,tradecount
1626912000000,2021-07-22 00:00:00,BTT/USDT,0.00212220,0.00216500,0.00205610,0.00216280,5570201411.00000000,11810262.96460510,42008
1626825600000,2021-07-21 00:00:00,BTT/USDT,0.00195080,0.00214710,0.00190390,0.00212220,8441373878.00000000,17395696.51481910,55759
1626739200000,2021-07-20 00:00:00,BTT/USDT,0.00208460,0.00212300,0.00188690,0.00195000,11228435241.00000000,21993571.02546390,61410
1626652800000,2021-07-19 00:00:00,BTT/USDT,0.00220900,0.00221920,0.00206970,0.00208400,4784810016.00000000,10200548.22423200,37836
1626566400000,2021-07-18 00:00:00,BTT/USDT,0.00223780,0.00230330,0.00217530,0.00220890,4366769973.00000000,9781735.31388110,35524
1626480000000,2021-07-17 00:00:00,BTT/USDT,0.00216020,0.00228690,0.00212500,0.00223770,6466428228.00000000,14233273.25554750,45095
1626393600000,2021-07-16 00:00:00,BTT/USDT,0.00228670,0.00232990,0.00214030,0.00215940,4789244567.00000000,10658293.71664650,43415
1626307200000,2021-07-15 00:00:00,BTT/USDT,0.00237150,0.00239950,0.00225100,0.00228530,4982407951.00000000,11528135.28373490,42439
1626220800000,2021-07-14 00:00:00,BTT/USDT,0.00239070,0.00240380,0.00226040,0.00237100,4761857588.00000000,11098586.64937210,44902
1626134400000,2021-07-13 00:00:00,BTT/USDT,0.00246130,0.00247330,0.00236800,0.00238910,3212115025.00000000,7781663.68165450,32496
1626048000000,2021-07-12 00:00:00,BTT/USDT,0.00252370,0.00255180,0.00242760,0.00246240,3572577001.00000000,8892240.88849080,36185
1625961600000,2021-07-11 00:00:00,BTT/USDT,0.00250290,0.00254400,0.00245670,0.00252370,3006460921.00000000,7530859.92918820,29017
1625875200000,2021-07-10 00:00:00,BTT/USDT,0.00254510,0.00258860,0.00246230,0.00250240,4457459253.00000000,11236164.31061990,39037
1625788800000,2021-07-09 00:00:00,BTT/USDT,0.00248470,0.00256690,0.00238020,0.00254470,5170324272.00000000,12811889.66847970,48179
