unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT,tradecount
1646784000000,2022-03-09 00:00:00,LINK/USDT,13.08000000,14.46000000,13.05000000,14.01000000,6462680.43000000,89907155.63400000,126685
1646697600000,2022-03-08 00:00:00,LINK/USDT,12.67000000,13.56000000,12.58000000,13.08000000,6873875.25000000,90175800.31070000,122591
1646611200000,2022-03-07 00:00:00,LINK/USDT,13.31000000,13.67000000,12.42000000,12.68000000,7295696.40000000,94830880.27510000,142943
1646524800000,2022-03-06 00:00:00,LINK/USDT,14.02000000,14.12000000,13.25000000,13.32000000,3535626.53000000,48376701.68970000,76099
1646438400000,2022-03-05 00:00:00,LINK/USDT,13.74000000,14.27000000,13.41000000,14.03000000,2774984.85000000,38502970.78030000,66375
1646352000000,2022-03-04 00:00:00,LINK/USDT,14.89000000,14.98000000,13.54000000,13.73000000,6010183.64000000,85251891.06810000,133635
1646265600000,2022-03-03 00:00:00,LINK/USDT,15.29000000,15.38000000,14.46000000,14.89000000,4619929.39000000,69108685.03940000,104038
1646179200000,2022-03-02 00:00:00,LINK/USDT,15.34000000,15.87000000,14.91000000,15.28000000,6289045.87000000,96972346.74570000,170283
1646092800000,2022-03-01 00:00:00,LINK/USDT,15.12000000,15.73000000,14.72000000,15.35000000,6417303.01000000,97490908.60310000,167186
1646006400000,2022-02-28 00:00:00,LINK/USDT,13.64000000,15.15000000,13.31000000,15.13000000,6565276.42000000,93550858.36430000,151538
1645920000000,2022-02-27 00:00:00,LINK/USDT,14.71000000,14.86000000,13.47000000,13.64000000,6636801.70000000,94148021.37000000,154846
1645833600000,2022-02-26 00:00:00,LINK/USDT,14.36000000,15.05000000,14.09000000,14.72000000,5169319.32000000,75218312.12330000,129330
1645747200000,2022-02-25 00:00:00,LINK/USDT,13.27000000,14.49000000,13.08000000,14.36000000,6030934.14000000,82424455.82360000,139311
1645660800000,2022-02-24 00:00:00,LINK/USDT,13.34000000,13.95000000,11.40000000,13.27000000,15759305.00000000,194779955.28082500,330438
1645574400000,2022-02-23 00:00:00,LINK/USDT,13.98000000,14.66000000,13.30000000,13.35000000,5114288.86000000,72145875.28380000,118113
1645488000000,2022-02-22 00:00:00,LINK/USDT,13.50000000,14.20000000,13.02000000,13.99000000,5856340.62000000,80031788.12620400,120418
1645401600000,2022-02-21 00:00:00,LINK/USDT,14.61000000,15.31000000,13.38000000,13.51000000,7372976.51000000,106352661.97689500,175233
1645315200000,2022-02-20 00:00:00,LINK/USDT,15.52000000,15.53000000,14.39000000,14.60000000,3837683.54000000,56555136.49650000,102467
1645228800000,2022-02-19 00:00:00,LINK/USDT,15.18000000,15.68000000,14.84000000,15.51000000,3219793.29000000,49243295.15200000,80085
1645142400000,2022-02-18 00:00:00,LINK/USDT,15.60000000,16.06000000,15.03000000,15.19000000,3855947.82000000,59811086.84120000,103162
1645056000000,2022-02-17 00:00:00,LINK/USDT,17.13000000,17.45000000,15.45000000,15.59000000,4927491.83000000,80145149.86480000,137654
1644969600000,2022-02-16 00:00:00,LINK/USDT,17.34000000,17.41000000,16.49000000,17.12000000,3608928.92000000,61191862.86810000,107095
1644883200000,2022-02-15 00:00:00,LINK/USDT,15.91000000,17.45000000,15.81000000,17.34000000,4132749.50000000,68875782.81010000,117576
1644796800000,2022-02-14 00:00:00,LINK/USDT,15.61000000,16.12000000,15.20000000,15.90000000,3638626.12000000,56833036.28660000,101370
1644710400000,2022-02-13 00:00:00,LINK/USDT,15.96000000,16.33000000,15.52000000,15.60000000,2671296.28000000,42713256.39580000,72135
1644624000000,2022-02-12 00:00:00,LINK/USDT,16.20000000,16.38000000,15.56000000,15.95000000,4161869.44000000,66586538.04810000,119423
1644537600000,2022-02-11 00:00:00,LINK/USDT,17.51000000,17.81000000,15.89000000,16.21000000,4468507.35000000,76473743.47790000,143141
1644451200000,2022-02-10 00:00:00,LINK/USDT,18.67000000,18.75000000,17.35000000,17.50000000,5796638.84000000,104841441.49180000,197796
