unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1643155200000,2022-01-26 00:00:00,BNB/USDT,385.10000000,402.40000000,366.40000000,375.10000000,1073520.17200000,413788334.10360000,609665
1643068800000,2022-01-25 00:00:00,BNB/USDT,371.20000000,389.50000000,357.40000000,385.10000000,1006111.15500000,374436795.38770000,496841
1642982400000,2022-01-24 00:00:00,BNB/USDT,384.00000000,384.00000000,336.00000000,371.30000000,1900214.42000000,674434639.68830000,747043
1642896000000,2022-01-23 00:00:00,BNB/USDT,358.30000000,389.00000000,356.30000000,383.90000000,1297043.92300000,486432084.57220000,564987
1642809600000,2022-01-22 00:00:00,BNB/USDT,383.80000000,389.60000000,336.30000000,358.30000000,2635609.38600000,949889475.23380000,1039653
1642723200000,2022-01-21 00:00:00,BNB/USDT,440.20000000,444.60000000,373.70000000,383.90000000,1891179.59400000,780737529.93460000,871503
1642636800000,2022-01-20 00:00:00,BNB/USDT,461.90000000,478.70000000,438.20000000,440.20000000,1137854.89400000,528565003.81690000,688607
1642550400000,2022-01-19 00:00:00,BNB/USDT,471.50000000,473.10000000,453.70000000,461.90000000,585750.30000000,272375832.01810000,397483
1642464000000,2022-01-18 00:00:00,BNB/USDT,475.10000000,479.60000000,457.20000000,471.40000000,707501.57700000,330240013.35630000,451974
1642377600000,2022-01-17 00:00:00,BNB/USDT,498.60000000,499.10000000,466.90000000,475.20000000,757806.03500000,363254557.74590000,517026
1642291200000,2022-01-16 00:00:00,BNB/USDT,494.50000000,506.00000000,488.60000000,498.60000000,507042.33200000,251862226.22360000,389752
1642204800000,2022-01-15 00:00:00,BNB/USDT,489.90000000,500.90000000,485.00000000,494.50000000,548626.20300000,270831128.95430000,408859
1642118400000,2022-01-14 00:00:00,BNB/USDT,475.10000000,492.30000000,467.60000000,490.00000000,797022.18100000,383070562.15030000,532865
1642032000000,2022-01-13 00:00:00,BNB/USDT,487.80000000,489.80000000,466.50000000,475.20000000,908052.93700000,434855256.53010000,574157
1641945600000,2022-01-12 00:00:00,BNB/USDT,463.60000000,489.90000000,456.60000000,487.80000000,836124.92800000,395395226.98670000,542753
1641859200000,2022-01-11 00:00:00,BNB/USDT,424.80000000,467.70000000,421.30000000,463.60000000,1266092.81900000,571335667.79270000,670993
1641772800000,2022-01-10 00:00:00,BNB/USDT,438.80000000,445.50000000,405.60000000,424.70000000,1221504.73800000,518143646.50800000,550883
1641686400000,2022-01-09 00:00:00,BNB/USDT,429.80000000,444.50000000,427.00000000,438.70000000,688777.34700000,299514285.42510000,367892
1641600000000,2022-01-08 00:00:00,BNB/USDT,448.10000000,459.70000000,415.00000000,429.90000000,1062788.58900000,464082732.81090000,512468
