unix,date,symbol,open,high,low,close,Volume NEO,Volume USDT,tradecount
1643932800000,2022-02-04 00:00:00,NEO/USDT,20.19000000,22.49000000,20.09000000,22.41000000,790933.82000000,17117485.45660000,59622
1643846400000,2022-02-03 00:00:00,NEO/USDT,20.14000000,20.43000000,19.26000000,20.21000000,311088.18000000,6138939.44070000,25484
1643760000000,2022-02-02 00:00:00,NEO/USDT,19.88000000,21.66000000,19.86000000,20.12000000,688518.48000000,14341788.83980000,57278
1643673600000,2022-02-01 00:00:00,NEO/USDT,19.71000000,20.45000000,19.61000000,19.88000000,244327.03000000,4889731.17290000,22767
1643587200000,2022-01-31 00:00:00,NEO/USDT,19.58000000,19.77000000,18.57000000,19.71000000,288736.10000000,5530764.51830000,24255
1643500800000,2022-01-30 00:00:00,NEO/USDT,19.34000000,20.21000000,19.00000000,19.57000000,244423.81000000,4795006.73150000,21523
1643414400000,2022-01-29 00:00:00,NEO/USDT,19.04000000,19.67000000,18.95000000,19.33000000,281554.99000000,5421715.89570000,22262
1643328000000,2022-01-28 00:00:00,NEO/USDT,18.07000000,19.09000000,17.79000000,19.04000000,295590.97000000,5431570.22300000,23315
1643241600000,2022-01-27 00:00:00,NEO/USDT,18.14000000,18.49000000,17.21000000,18.08000000,415447.46000000,7409551.22860000,28615
1643155200000,2022-01-26 00:00:00,NEO/USDT,18.25000000,19.85000000,17.70000000,18.14000000,619714.92000000,11610831.21090000,44155
1643068800000,2022-01-25 00:00:00,NEO/USDT,18.12000000,18.37000000,17.57000000,18.24000000,417506.20000000,7500687.66600000,29493
1642982400000,2022-01-24 00:00:00,NEO/USDT,18.59000000,18.60000000,16.11000000,18.11000000,840943.25000000,14437318.83950000,50141
1642896000000,2022-01-23 00:00:00,NEO/USDT,17.84000000,18.91000000,17.65000000,18.61000000,454327.01000000,8285572.18030000,30267
1642809600000,2022-01-22 00:00:00,NEO/USDT,19.57000000,20.04000000,16.22000000,17.84000000,1178087.49900000,21053321.60349900,69173
1642723200000,2022-01-21 00:00:00,NEO/USDT,22.71000000,22.94000000,19.21000000,19.56000000,795151.34800000,16777174.68876100,57800
1642636800000,2022-01-20 00:00:00,NEO/USDT,23.86000000,24.67000000,22.56000000,22.71000000,322255.57000000,7685273.01650000,31755
1642550400000,2022-01-19 00:00:00,NEO/USDT,25.41000000,26.07000000,23.64000000,23.83000000,607334.27000000,15016987.62010000,53906
1642464000000,2022-01-18 00:00:00,NEO/USDT,23.95000000,25.89000000,23.43000000,25.42000000,819299.26000000,20239172.55820000,69271
1642377600000,2022-01-17 00:00:00,NEO/USDT,25.16000000,25.23000000,23.48000000,23.95000000,249091.37000000,6042802.06660000,26848
1642291200000,2022-01-16 00:00:00,NEO/USDT,25.31000000,25.44000000,24.68000000,25.16000000,180513.89000000,4541773.10700000,19520
1642204800000,2022-01-15 00:00:00,NEO/USDT,24.88000000,25.97000000,24.82000000,25.32000000,361988.05000000,9177931.66360000,39442
1642118400000,2022-01-14 00:00:00,NEO/USDT,23.51000000,25.09000000,23.32000000,24.86000000,338884.12000000,8216686.07170000,37871
1642032000000,2022-01-13 00:00:00,NEO/USDT,24.74000000,24.91000000,23.42000000,23.53000000,243952.81000000,5914199.48040000,28657
1641945600000,2022-01-12 00:00:00,NEO/USDT,23.83000000,25.01000000,23.76000000,24.76000000,294437.06000000,7184921.87780000,30918
1641859200000,2022-01-11 00:00:00,NEO/USDT,22.66000000,23.88000000,22.56000000,23.82000000,281865.63000000,6538894.12830000,25481
1641772800000,2022-01-10 00:00:00,NEO/USDT,23.66000000,24.26000000,21.83000000,22.68000000,468268.78300000,10725089.94415900,43177
1641686400000,2022-01-09 00:00:00,NEO/USDT,23.08000000,24.12000000,22.91000000,23.66000000,251764.81000000,5929960.50070000,22376
