unix,date,symbol,open,high,low,close,Volume STX,Volume USDT,tradecount
1648512000000,2022-03-29 00:00:00,STX/USDT,1.41800000,1.52000000,1.41300000,1.45100000,3573412.80000000,5251891.53260000,23273
1648425600000,2022-03-28 00:00:00,STX/USDT,1.44400000,1.51700000,1.41500000,1.41900000,4454284.00000000,6518572.73230000,26773
1648339200000,2022-03-27 00:00:00,STX/USDT,1.36000000,1.44900000,1.35200000,1.44500000,3866747.80000000,5420544.37670000,23020
1648252800000,2022-03-26 00:00:00,STX/USDT,1.34400000,1.36900000,1.33300000,1.36000000,1236459.90000000,1667464.34640000,9669
1648166400000,2022-03-25 00:00:00,STX/USDT,1.36900000,1.39900000,1.32500000,1.34300000,2479747.70000000,3375815.05920000,16457
1648080000000,2022-03-24 00:00:00,STX/USDT,1.33900000,1.38600000,1.32800000,1.36900000,3389178.50000000,4604567.41600000,18650
1647993600000,2022-03-23 00:00:00,STX/USDT,1.30700000,1.49000000,1.28400000,1.34000000,7847045.40000000,10650306.07050000,37512
1647907200000,2022-03-22 00:00:00,STX/USDT,1.29700000,1.32300000,1.27800000,1.30500000,2034453.20000000,2659559.26910000,11118
1647820800000,2022-03-21 00:00:00,STX/USDT,1.26000000,1.32700000,1.25900000,1.29700000,3447681.60000000,4463096.40220000,18619
1647734400000,2022-03-20 00:00:00,STX/USDT,1.31400000,1.31600000,1.25100000,1.25800000,2043986.40000000,2618511.38910000,10189
1647648000000,2022-03-19 00:00:00,STX/USDT,1.29400000,1.33200000,1.28800000,1.31600000,3257401.90000000,4255788.57600000,14963
1647561600000,2022-03-18 00:00:00,STX/USDT,1.27100000,1.36600000,1.22400000,1.29200000,5544015.00000000,7129550.23040000,26029
1647475200000,2022-03-17 00:00:00,STX/USDT,1.27300000,1.27400000,1.23900000,1.27100000,2389581.10000000,2994836.78040000,11975
1647388800000,2022-03-16 00:00:00,STX/USDT,1.22300000,1.27700000,1.20700000,1.27300000,5603524.90000000,6949460.18300000,26504
1647302400000,2022-03-15 00:00:00,STX/USDT,1.27200000,1.27500000,1.20200000,1.22300000,4929819.60000000,6035754.05640000,20275
1647216000000,2022-03-14 00:00:00,STX/USDT,1.22500000,1.32300000,1.20600000,1.27000000,7482008.60000000,9352279.99720000,30000
1647129600000,2022-03-13 00:00:00,STX/USDT,1.32400000,1.33500000,1.21500000,1.22300000,3986191.80000000,5091184.07760000,19580
