unix,date,symbol,open,high,low,close,Volume AVAX,Volume USDT,tradecount
1643068800000,2022-01-25 00:00:00,AVAX/USDT,63.00000000,70.53000000,61.65000000,68.01000000,2702688.81000000,177636701.69660000,347292
1642982400000,2022-01-24 00:00:00,AVAX/USDT,64.80000000,64.83000000,55.14000000,63.06000000,3701249.83000000,219436865.37570000,442835
1642896000000,2022-01-23 00:00:00,AVAX/USDT,59.81000000,66.88000000,59.02000000,64.83000000,2926022.98000000,184024003.36300000,346910
1642809600000,2022-01-22 00:00:00,AVAX/USDT,66.03000000,67.54000000,52.95000000,59.78000000,5109157.94000000,304793609.73590000,571890
1642723200000,2022-01-21 00:00:00,AVAX/USDT,79.32000000,80.38000000,63.93000000,66.06000000,3392205.59000000,245692803.73360000,462923
1642636800000,2022-01-20 00:00:00,AVAX/USDT,82.58000000,87.80000000,78.68000000,79.33000000,1225812.76000000,103096137.48180000,215550
1642550400000,2022-01-19 00:00:00,AVAX/USDT,86.03000000,86.38000000,81.08000000,82.61000000,1139560.79000000,95386563.90790000,184307
1642464000000,2022-01-18 00:00:00,AVAX/USDT,86.67000000,87.41000000,83.70000000,86.00000000,1041520.48000000,89047242.52780000,172814
1642377600000,2022-01-17 00:00:00,AVAX/USDT,92.25000000,92.50000000,85.34000000,86.67000000,1328305.00000000,117439344.85440000,236491
1642291200000,2022-01-16 00:00:00,AVAX/USDT,92.98000000,94.90000000,91.80000000,92.24000000,967418.87000000,90134788.73860000,179015
1642204800000,2022-01-15 00:00:00,AVAX/USDT,90.40000000,94.44000000,89.47000000,92.98000000,914689.68000000,83986168.00840000,176610
1642118400000,2022-01-14 00:00:00,AVAX/USDT,89.65000000,91.77000000,87.23000000,90.39000000,1200068.60000000,107669260.02780000,208567
1642032000000,2022-01-13 00:00:00,AVAX/USDT,95.95000000,97.26000000,89.08000000,89.65000000,1429888.43000000,133587226.48390000,298322
1641945600000,2022-01-12 00:00:00,AVAX/USDT,89.57000000,96.89000000,88.80000000,95.94000000,1757081.56000000,164578221.12370000,339803
1641859200000,2022-01-11 00:00:00,AVAX/USDT,84.42000000,91.00000000,83.21000000,89.59000000,1431317.89000000,124662083.45880000,253209
1641772800000,2022-01-10 00:00:00,AVAX/USDT,89.32000000,92.40000000,80.10000000,84.36000000,2836094.17000000,241549190.78150000,437854
1641686400000,2022-01-09 00:00:00,AVAX/USDT,83.87000000,91.88000000,82.46000000,89.33000000,1808479.57000000,157649981.25270000,309607
1641600000000,2022-01-08 00:00:00,AVAX/USDT,86.74000000,89.64000000,79.18000000,83.90000000,2469062.48000000,208857798.74830000,365452
