unix,date,symbol,open,high,low,close,Volume VET,Volume USDT,tradecount
1642809600000,2022-01-22 00:00:00,VET/USDT,0.05741000,0.05922000,0.04482000,0.05163000,2201946906.00000000,113802780.52692900,364822
1642723200000,2022-01-21 00:00:00,VET/USDT,0.06759000,0.06889000,0.05556000,0.05746000,1459868061.20000000,90953831.13951100,323633
1642636800000,2022-01-20 00:00:00,VET/USDT,0.07073000,0.07481000,0.06703000,0.06760000,545805279.00000000,39028394.64410900,140980
1642550400000,2022-01-19 00:00:00,VET/USDT,0.07413000,0.07476000,0.07018000,0.07073000,417930420.50000000,30139146.28573300,111895
1642464000000,2022-01-18 00:00:00,VET/USDT,0.07523000,0.07605000,0.07210000,0.07414000,461742766.00000000,34032331.46401700,114970
1642377600000,2022-01-17 00:00:00,VET/USDT,0.07843000,0.07859000,0.07371000,0.07519000,457631641.70000000,34659443.07432000,109649
1642291200000,2022-01-16 00:00:00,VET/USDT,0.07851000,0.07979000,0.07710000,0.07844000,309592034.40000000,24300919.28506700,81900
1642204800000,2022-01-15 00:00:00,VET/USDT,0.07901000,0.08013000,0.07746000,0.07851000,309481916.60000000,24397383.37910800,76903
1642118400000,2022-01-14 00:00:00,VET/USDT,0.07777000,0.07980000,0.07542000,0.07898000,453753455.20000000,35298270.18324600,117914
1642032000000,2022-01-13 00:00:00,VET/USDT,0.08238000,0.08314000,0.07674000,0.07777000,686404974.50000000,54935370.24601700,176868
1641945600000,2022-01-12 00:00:00,VET/USDT,0.07668000,0.08256000,0.07665000,0.08238000,605834341.40000000,48540853.37982400,154240
1641859200000,2022-01-11 00:00:00,VET/USDT,0.07303000,0.07692000,0.07207000,0.07661000,516427699.90000000,38524804.33655100,120881
1641772800000,2022-01-10 00:00:00,VET/USDT,0.07661000,0.07769000,0.06890000,0.07302000,767725424.70000000,55916518.58723600,189392
1641686400000,2022-01-09 00:00:00,VET/USDT,0.07549000,0.07899000,0.07450000,0.07663000,484046371.00000000,37170852.90383000,123447
1641600000000,2022-01-08 00:00:00,VET/USDT,0.07862000,0.08080000,0.07188000,0.07545000,664419206.20000000,50824075.54286800,171022
1641513600000,2022-01-07 00:00:00,VET/USDT,0.08253000,0.08295000,0.07621000,0.07861000,892450651.90000000,70735518.91024300,232880
1641427200000,2022-01-06 00:00:00,VET/USDT,0.08462000,0.08494000,0.08034000,0.08257000,880427597.10000000,72610828.05873600,214618
1641340800000,2022-01-05 00:00:00,VET/USDT,0.08589000,0.09600000,0.07855000,0.08461000,1756726493.90000000,157435378.94731000,513681
1641254400000,2022-01-04 00:00:00,VET/USDT,0.08589000,0.08980000,0.08367000,0.08590000,634447337.30000000,55276110.59053200,182472
1641168000000,2022-01-03 00:00:00,VET/USDT,0.08712000,0.08890000,0.08428000,0.08587000,526544835.50000000,45589317.46855800,151535
