unix,date,symbol,open,high,low,close,Volume XLM,Volume USDT,tradecount
1643155200000,2022-01-26 00:00:00,XLM/USDT,0.19670000,0.20830000,0.19120000,0.19660000,111416403.00000000,22246553.75890000,79842
1643068800000,2022-01-25 00:00:00,XLM/USDT,0.19790000,0.19960000,0.18790000,0.19660000,86980306.00000000,16878485.41350000,61685
1642982400000,2022-01-24 00:00:00,XLM/USDT,0.20080000,0.20090000,0.17180000,0.19780000,178115510.00000000,32767093.16400000,101133
1642896000000,2022-01-23 00:00:00,XLM/USDT,0.19240000,0.20110000,0.18770000,0.20090000,122874220.00000000,23892711.69680000,74853
1642809600000,2022-01-22 00:00:00,XLM/USDT,0.20270000,0.20810000,0.16760000,0.19240000,255008979.90000000,48069777.68199800,167152
1642723200000,2022-01-21 00:00:00,XLM/USDT,0.23140000,0.23380000,0.19800000,0.20280000,203930777.20000000,44370802.32765700,148536
1642636800000,2022-01-20 00:00:00,XLM/USDT,0.24550000,0.25260000,0.22970000,0.23150000,78926378.00000000,19285532.41700000,65855
1642550400000,2022-01-19 00:00:00,XLM/USDT,0.25400000,0.25580000,0.24340000,0.24540000,67306243.00000000,16781852.15470000,53444
1642464000000,2022-01-18 00:00:00,XLM/USDT,0.25600000,0.25760000,0.24870000,0.25410000,80656534.00000000,20365091.59690000,67938
1642377600000,2022-01-17 00:00:00,XLM/USDT,0.25880000,0.25980000,0.24970000,0.25590000,67572565.00000000,17139804.17170000,55565
1642291200000,2022-01-16 00:00:00,XLM/USDT,0.25900000,0.26250000,0.25430000,0.25890000,63917652.00000000,16520207.27160000,58022
1642204800000,2022-01-15 00:00:00,XLM/USDT,0.26440000,0.26970000,0.25590000,0.25880000,131814740.00000000,34448349.07520000,95747
1642118400000,2022-01-14 00:00:00,XLM/USDT,0.26920000,0.28630000,0.26140000,0.26440000,154090982.00000000,41691595.92820000,139374
1642032000000,2022-01-13 00:00:00,XLM/USDT,0.28230000,0.29010000,0.26850000,0.26930000,100679548.00000000,28343875.53540000,96184
1641945600000,2022-01-12 00:00:00,XLM/USDT,0.26300000,0.29170000,0.26280000,0.28220000,150003817.00000000,41785388.24710000,122961
1641859200000,2022-01-11 00:00:00,XLM/USDT,0.25280000,0.26360000,0.24800000,0.26300000,68869759.00000000,17581507.33210000,55935
1641772800000,2022-01-10 00:00:00,XLM/USDT,0.26100000,0.26410000,0.23490000,0.25290000,112088262.00000000,27938385.29740000,83473
1641686400000,2022-01-09 00:00:00,XLM/USDT,0.25510000,0.26400000,0.25290000,0.26090000,59541431.00000000,15409085.74080000,48169
1641600000000,2022-01-08 00:00:00,XLM/USDT,0.25710000,0.26460000,0.24660000,0.25500000,85233125.00000000,21904486.39990000,67439
1641513600000,2022-01-07 00:00:00,XLM/USDT,0.26750000,0.26840000,0.25100000,0.25690000,108784242.00000000,28207419.09570000,94663
1641427200000,2022-01-06 00:00:00,XLM/USDT,0.26620000,0.27240000,0.25800000,0.26760000,100323451.00000000,26683416.70420000,89235
