unix,date,symbol,open,high,low,close,Volume BAT,Volume USDT,tradecount
1642464000000,2022-01-18 00:00:00,BAT/USDT,1.01380000,1.02910000,0.97050000,1.00520000,8498881.00000000,8442633.52520000,29551
1642377600000,2022-01-17 00:00:00,BAT/USDT,1.05680000,1.06150000,0.99640000,1.01410000,10623465.00000000,10868847.27070000,32616
1642291200000,2022-01-16 00:00:00,BAT/USDT,1.06250000,1.07540000,1.03690000,1.05650000,8946342.00000000,9439513.86390000,32077
1642204800000,2022-01-15 00:00:00,BAT/USDT,1.05540000,1.08440000,1.03870000,1.06260000,7798093.00000000,8285979.01480000,26653
1642118400000,2022-01-14 00:00:00,BAT/USDT,1.03760000,1.07180000,1.01190000,1.05620000,10776861.00000000,11242690.69300000,36573
1642032000000,2022-01-13 00:00:00,BAT/USDT,1.11590000,1.12190000,1.03140000,1.03830000,12809418.00000000,13856241.52850000,46912
1641945600000,2022-01-12 00:00:00,BAT/USDT,1.05710000,1.12140000,1.04850000,1.11540000,15839243.00000000,17317682.43920000,53960
1641859200000,2022-01-11 00:00:00,BAT/USDT,0.99760000,1.06400000,0.98770000,1.05670000,13770189.00000000,14153350.76790000,47091
1641772800000,2022-01-10 00:00:00,BAT/USDT,1.03370000,1.04580000,0.93720000,0.99810000,19377822.00000000,19130647.61260000,62592
1641686400000,2022-01-09 00:00:00,BAT/USDT,1.02040000,1.05650000,1.00000000,1.03390000,15167502.00000000,15634578.25040000,47911
1641600000000,2022-01-08 00:00:00,BAT/USDT,1.07690000,1.10310000,0.98890000,1.02100000,21917977.00000000,22955415.45520000,71161
1641513600000,2022-01-07 00:00:00,BAT/USDT,1.18330000,1.18940000,1.03800000,1.07680000,36066061.00000000,39318714.96400000,118558
1641427200000,2022-01-06 00:00:00,BAT/USDT,1.17700000,1.19760000,1.10790000,1.18350000,24797150.00000000,28649951.01700000,84265
